filepath,water_fraction,water_pixels,total_pixels,error
data/raw/external/river_water_dataset\2019\images\DJI_387.JPG,0.32684797928731196,1706774,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_388.JPG,0.3013292045837546,1573517,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_389.JPG,0.2071341575512455,1081638,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_390.JPG,0.20356592977295707,1063005,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_391.JPG,0.12759061801023378,666268,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_392.JPG,0.19330839997548793,1009441,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_393.JPG,0.11719865490087937,612002,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_394.JPG,0.01587979134111591,82923,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_422.JPG,0.21568043937861936,1126266,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_423.JPG,0.14242807243312805,743748,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_424.JPG,0.06839189416919447,357137,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_425.JPG,0.09902851824616234,517119,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_426.JPG,0.14021796580568066,732207,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_427.JPG,0.14287426846830284,746078,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_428.JPG,0.14779774489076813,771788,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_464.JPG,0.00674043263780372,35198,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_465.JPG,0.0436278227165487,227821,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_466.JPG,0.0502937616815271,262630,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_467.JPG,0.14435916291325795,753832,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_468.JPG,0.1441536829365444,752759,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_469.JPG,0.1435351365015167,749529,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_470.JPG,0.1438306216870423,751072,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_471.JPG,0.14386164475901583,751234,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_472.JPG,0.143481516377118,749249,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_473.JPG,0.1379774106075926,720507,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_474.JPG,0.14058871066580875,734143,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_475.JPG,0.13397639182522902,699614,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_476.JPG,0.13595612341820634,709952,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_477.JPG,0.09539039280571131,498121,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_478.JPG,0.09346849434690689,488085,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_479.JPG,0.10080353586420321,526388,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_480.JPG,0.10438670067714557,545099,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_481.JPG,0.09711006679535497,507101,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_482.JPG,0.0994245411649355,519187,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_483.JPG,0.12331824309832398,643958,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_484.JPG,0.14920182614823665,779120,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_485.JPG,0.15961868431534762,833516,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_486.JPG,0.16332211140729846,852855,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_487.JPG,0.1768315102491038,923400,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_488.JPG,0.17471696234335263,912358,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_489.JPG,0.10090694610411496,526928,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_490.JPG,0.14785711002849528,772098,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_491.JPG,0.1548901553451604,808824,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_492.JPG,0.10022386401936452,523361,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_493.JPG,0.04408244477127187,230195,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_494.JPG,0.04506579955265496,235330,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_495.JPG,0.0448453825412875,234179,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_532.JPG,0.006181825841835953,32281,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_533.JPG,0.04984565064190949,260290,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_534.JPG,0.09968268376382633,520535,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_535.JPG,0.11797040169133192,616032,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_536.JPG,0.1363126972454576,711814,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_537.JPG,0.1733494576707418,905217,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_538.JPG,0.21972875877072034,1147406,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_539.JPG,0.2296752918466771,1199346,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_540.JPG,0.24228195759414162,1265177,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_541.JPG,0.22650940650182308,1182814,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_542.JPG,0.22083543983822043,1153185,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_543.JPG,0.19464009406501823,1016395,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_544.JPG,0.11665383613689984,609157,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_545.JPG,0.09402595214020897,490996,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_546.JPG,0.08613977234427184,449815,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_547.JPG,0.0737370545699666,385049,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_548.JPG,0.04186812513405031,218632,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_549.JPG,0.19305753439347978,1008131,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_550.JPG,0.19846320893464472,1036359,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_551.JPG,0.17775320188742838,928213,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_552.JPG,0.16899665257223398,882487,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_553.JPG,0.13326803168183352,695915,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_554.JPG,0.05862652051352759,306143,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_555.JPG,0.01574229402212213,82205,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_596.JPG,0.014130243282164414,73787,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_597.JPG,0.03792532248674817,198043,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_598.JPG,0.09488712963814076,495493,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_599.JPG,0.13902874804669546,725997,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_600.JPG,0.1602619343076876,836875,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_601.JPG,0.16271179949137482,849668,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_602.JPG,0.18869036676165088,985326,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_603.JPG,0.26501631583785273,1383894,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_604.JPG,0.2839553267763581,1482792,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_605.JPG,0.3063811778043325,1599898,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_606.JPG,0.3015469405889022,1574654,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_607.JPG,0.29146674020283725,1522016,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_608.JPG,0.35388765051934923,1847973,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_609.JPG,0.36400059748138613,1900782,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_610.JPG,0.34952929190795723,1825214,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_611.JPG,0.18790502343965437,981225,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_612.JPG,0.11910695682813983,621967,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_613.JPG,0.06472695866654411,337999,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_614.JPG,0.04996131691025523,260894,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_615.JPG,0.08962718693507368,468026,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_616.JPG,0.0679412936238012,354784,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_617.JPG,0.03274255446272635,170979,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_618.JPG,0.024883567729877133,129940,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_619.JPG,0.023243174924165826,121374,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_620.JPG,0.03859461653951037,201538,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_621.JPG,0.10775193798449613,562672,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_622.JPG,0.14429749977019946,753510,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_623.JPG,0.18751187302754543,979172,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_624.JPG,0.29368278334405734,1533588,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_625.JPG,0.30396693170328154,1587291,5221920,
data/raw/external/river_water_dataset\2019\images\DJI_626.JPG,0.28677689432239484,1497526,5221920,
